Sample ID,Nu Cluster,Type,Latitude,Longitude,Depth (m),Elevation,Distance to land (km),MAAT,pH,744,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
P293,Peat-type,P,48.1,7.1,NA,1254,0,5.1,NA,,0,0,0,0,0,0,193730,0,0,0,2574015,0,0,0,0,0,4959405,0,330602
P294,Peat-type,P,48.1,7.1,NA,1254,0,5.1,NA,,0,0,0,0,0,0,1533234,0,0,0,16589964,0,0,0,0,0,30738542,256586,488626
P295,Peat-type,P,48.1,7.1,NA,1254,0,5.1,NA,,0,0,0,0,0,0,1410930,0,0,0,13965188,0,0,0,0,0,20331373,0,363922
P296,Peat-type,P,42.8,1.4,NA,1799,0,3.8,NA,,14259065,415626,512375,118682,581389,0,100678045,0,0,0,260210979,0,4295309,0,1565152,0,352376901,9616734,2958346
P297,Peat-type,P,42.8,1.4,NA,1799,0,3.8,NA,,0,0,0,0,0,0,482361,0,0,0,5220171,0,74958,0,142567,0,14948057,946593,141005
P298,Peat-type,P,42.8,1.4,NA,1799,0,3.8,NA,,31995773,207073,171335,24929,106681,0,36281649,0,0,0,260367241,0,2727487,0,1821078,0,348566433,4337888,3062335
P299,Peat-type,P,63.7,20.1,NA,46,0,4,NA,,0,0,0,0,0,0,272636,0,0,0,4791560,0,0,0,0,0,11944782,0,0
P300,Peat-type,P,63.7,20.1,NA,46,0,4,NA,,0,0,0,0,0,0,584336,0,0,0,9789617,0,70339,0,0,0,21278347,163672,160454
P301,Peat-type,P,46.2,8,NA,2055,0,5.5,NA,,0,0,0,0,0,0,1345170,0,0,0,6598888,0,151236,0,63970,0,10350210,190045,180081
P302,Peat-type,P,46.2,8,NA,2055,0,5.5,NA,,0,0,0,0,0,0,361389,0,0,0,1858125,0,15563,0,5851,0,3935921,64986,14377
P303,Peat-type,P,64,16.4,NA,29,0,4,NA,,0,0,0,0,0,0,163706,2645066,0,0,360187,1206770,50632,216499,0,0,386660,65420,42745
P304,Peat-type,P,64,16.4,NA,29,0,4,NA,,0,0,0,0,0,0,224642,2877556,0,0,372257,1362954,46914,216415,0,0,452597,65556,56229
P305,Peat-type,P,46.1,7,NA,1070,0,3.5,NA,,0,0,0,0,0,0,559456,0,0,0,7328751,0,136360,0,73593,0,22526454,412188,388082
P306,Peat-type,P,46.1,7,NA,1070,0,3.5,NA,,0,0,0,0,0,0,187087,0,0,0,2935727,0,0,0,0,0,9092989,51491,75345
P307,Peat-type,P,42.9,2,NA,880,0,8.4,NA,,0,0,0,0,0,0,864151,0,0,0,10614494,0,165686,0,68294,0,19687482,626159,267413
P308,Peat-type,P,42.9,2,NA,880,0,8.4,NA,,0,0,0,0,0,0,605620,0,0,0,6828172,0,113610,0,47978,0,12142302,318286,89087
P309,Peat-type,P,42.9,2,NA,880,0,8.4,NA,,0,0,0,0,0,0,11821372,0,46103,54312,129501268,0,2656003,0,1111035,0,202788814,13525723,2266986
P310,Peat-type,P,53.1,18.2,NA,88,0,8.1,NA,,0,0,0,0,0,0,1766724,0,0,0,5330136,0,43124,0,29864,0,11565375,39584,89833
P311,Peat-type,P,53.1,18.2,NA,88,0,8.1,NA,,0,0,0,0,0,0,36992,0,0,0,364998,0,0,0,0,0,1158611,40763,46104
P312,Peat-type,P,69,15.3,NA,269,0,1.6,NA,,0,0,0,0,0,0,4389615,0,0,0,27968535,0,300896,0,161316,0,31847664,713651,670921
P313,Peat-type,P,63.4,-18.8,NA,57,0,11.3,NA,,0,0,0,0,0,0,580377,1618852,24881,35073,1035944,2393310,153258,285111,24422,13473,1369002,293840,73228
P314,Peat-type,P,63.4,-18.8,NA,57,0,11.3,NA,,0,0,0,0,0,0,2698465,4624365,72118,113832,3880240,7967691,877258,772936,131190,33703,4731427,970438,260019
P315,Peat-type,P,53.4,17.6,NA,95,0,8,NA,,0,0,0,0,0,0,1036612,0,0,0,6298163,0,0,0,0,0,17261751,90933,149991
P316,Peat-type,P,53.4,17.6,NA,95,0,8,NA,,0,0,0,0,0,0,48592,0,0,0,546176,0,0,0,0,0,1177701,0,0
P317,Peat-type,P,52.5,16.2,NA,66,0,8.5,NA,,0,0,0,0,0,0,581836,0,0,0,6508189,0,0,0,0,0,12470882,0,229178
P318,Peat-type,P,52.5,16.2,NA,66,0,8.5,NA,,0,0,0,0,0,0,162995,0,0,0,812066,0,0,0,0,0,1641155,40944,98021
P319,Peat-type,P,52.5,16.2,NA,66,0,8.5,NA,,0,0,0,0,0,0,167461,0,0,0,1155103,0,0,0,0,0,2574023,30666,0
P320,Peat-type,P,48.1,6.5,NA,545,0,6,NA,,0,0,0,0,0,0,275768,0,0,0,3617993,0,0,0,0,0,6593251,135763,69024
P321,Peat-type,P,48.1,6.5,NA,545,0,6,NA,,0,0,0,0,0,0,159310,0,0,0,1558553,0,0,0,0,0,3484228,0,0
P322,Peat-type,P,48.1,6.5,NA,545,0,6,NA,,0,0,0,0,0,0,19492,0,0,0,141267,0,0,0,0,0,237629,0,0
P323,Peat-type,P,46.2,8,NA,1845,0,5.5,NA,,0,0,0,0,0,0,151501,42704,0,0,2143602,351118,23543,0,11485,0,4274480,69184,13354
